legacyCategory,legacyId,sourceCompanyName,displayName,url,logo,showHide,hideReason,parentLegacyId,desc,primarySector,secondarySector,tertiarySector,quaternarySector,quinarySector,senarySector
Travel Services,17587,Philips Hue,Philips Hue,philips-hue.com,https://logodix.com/logo/326408.png,Show,,12958,LED smart lights,"Electronics, Gadgets & Accessories",Home Decor,,,,
Travel Services,17588,Color Kinetics,Color Kinetics,colorkinetics.com,,Category,,12958,,Basic Resources,,,,,
Travel Services,17589,Vari-Lite,Vari-Lite,vari-lite.com,,Category,,12958,,Basic Resources,,,,,
Travel Services,17590,Modular Lighting Instruments,Modular Lighting Instruments,supermodular.com,,Category,,12958,,Industrial Goods,,,,,
Travel Services,17591,ZERO 88,ZERO 88,zero88.com,,Category,,12958,,Industrial Goods,,,,,
Apparel,12959,SMUD,SMUD,http://smud.org,,Show,,12959,,Utilities,,,,,
Apparel,12960,Snam S.P.A,Snam S.P.A,http://snam.it,,Category,,12960,,Energy,,,,,
Apparel,12961,Sodexo,Sodexo,http://sodexousa.com,,Show,,12961,Check,Consulting Services,,,,,
Travel Services,17592,Aspretto,Aspretto,http://aspretto.sodexo.com/,,Show,,12961,,Coffee,,,,,
Apparel,12962,Sonae,Sonae,http://sonae.pt,,Show,,12962,"manages businesses in retail, financial services, technology, shopping centres and telecommunications",Retail,,,,,
Apparel,12963,Sopra Steria Group,Sopra Steria Group,http://soprasteria.com,,Show,,12963,uk company,IT & Business Consulting,Business Intelligence Services,,,,
Apparel,12964,SpareBank 1 Ostlandet,SpareBank 1 Ostlandet,http://sparebank1.no,,Show,,12964,,Commercial Banking,,,,,
Apparel,12965,STMicroelectronics International NV,STMicroelectronics International NV,http://st.com,,Category,,12965,,Semiconductors & Equipment,,,,,
Apparel,12967,"Sumitomo Forestry Co., Ltd.",Sumitomo Forestry Co.,http://sfc.jp,,Category,,12967,,"Agriculture, Forestry, Fishing and Hunting",,,,,
Apparel,12969,Swiss Re,Swiss Re,http://swissre.com,,Show,,12969,Insurance Carriers,Insurance Carriers,,,,,
Apparel,12972,T.GARANTI BANKASI A.S.,T.GARANTI BANKASI A.S.,https://www.garantibbva.com.tr/en,,Show,,12972,,Commercial Banking,,,,,
Apparel,12973,Taisei Corporation,Taisei,http://taisei.co.jp,,Show,,12973,,"Architecture, Engineering & Design",,,,,
Apparel,12974,Taishin Financial Holdings,Taishin Financial Holdings,http://taishinholdings.com.tw,,Show,,12974,,Commercial Banking,,,,,
Apparel,12975,Taiwan Mobile Co. Ltd.,Taiwan Mobile Co.,http://english.taiwanmobile.com,,Show,,12975,,Telecommunications Service Providers,,,,,
Apparel,12976,Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company,https://www.takeda.com/en-us/,,Category,,12976,Medicines and Therapetic relief,Healthcare,,,,,
Apparel,12979,TelefÃƒÂ³nica,TelefÃƒÂ³nica,http://#N/A,,Show,,12979,,Telecommunications Service Providers,,,,,
Apparel,12980,Telefonica Brasil S.A.,Telefonica Brasil S.A.,http://telefonica.com.br,,Show,,12980,,Telecommunications Service Providers,,,,,
Apparel,12981,Tessy Plastics,Tessy Plastics,http://tessy.com,,Category,,12981,,Industrial Goods,,,,,
Apparel,12984,The Navigator Company,The Navigator Company,http://en.thenavigatorcompany.com,,Category,,12984,,Paper Products,,,,,
Travel Services,17593,Navigator,Navigator,https://www.navigator-paper.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17594,MultiOffice Stress free paper,MultiOffice Stress free paper,http://www.multioffice-paper.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17595,DISCOVERY Eco-efficient paper,DISCOVERY Eco-efficient paper,https://discovery-paper.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17596,Inacopia,Inacopia,https://inacopia-paper.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17597,Soporset,Soporset,http://www.soporset-paper.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17598,Inaset Paper,Inaset Paper,https://inaset-paper.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17599,Navigator Office Papaer Solutions PrePrint,Navigator Office Papaer Solutions PrePrint,https://www.navigator-preprint.com/,,Category,,12984,,Paper Products,,,,,
Travel Services,17600,Soporset Premium Opaque offset,Soporset Premium Opaque offset,http://www.soporset-usa.com/,,Category,,12984,,Paper Products,,,,,
Apparel,12985,"The Yokohama Rubber Co., Ltd.",The Yokohama Rubber Co.,http://y-yokohama.com,,Show,,12985,"Varitey of tires for car and bikes. Also provides industrial products for aircrafts, marine, and hoses",Tire Dealers,Manufacturing,,,,
Apparel,12986,thyssenkrupp AG,thyssenkrupp AG,http://thyssenkrupp.com,,Show,,12986,,"Architecture, Engineering & Design",,,,,
Apparel,12987,TietoEVRY,TietoEVRY,http://tietoevry.com,,Show,,12987,,Business Intelligence Services,,,,,
Apparel,12988,TK Elevator,TK Elevator,https://www.tkelevator.com/us-en/,,Show,,12988,,"Architecture, Engineering & Design",,,,,
Apparel,12989,Toda Corporation,Toda,http://toda.co.jp,,Show,,12989,Check,Construction,,,,,
Apparel,12990,"Tokyo Steel Manufacturing Co., Ltd.",Tokyo Steel Manufacturing Co.,http://tokyosteel.co.jp,,Category,,12990,,Industrial Goods,,,,,
Apparel,12991,Toshiba Corporation,Toshiba Corporation,https://www.toshiba.com/tai/,,Show,,12991,,"Electronics, Gadgets & Accessories",Hardware,,,,
Apparel,12994,U.S. Bancorp,U.S. Bancorp,http://usbank.com,,Show,,12994,,Commercial Banking,,,,,
Apparel,12995,UBS,UBS,http://ubs.com,,Show,,12995,,Commercial Banking,,,,,
Apparel,12996,Unibail-Rodamco-Westfield,Unibail-Rodamco-Westfield,http://urw.com,,Category,,12996,,Real Estate & Renting,,,,,
Apparel,12999,Valeo Sa,Valeo Sa,http://valeo.com,,Show,,12999,innovative parts and products for vehicles,Automotive Parts and Accessories Stores,,,,,
Apparel,13000,Vattenfall Group,Vattenfall Group,http://group.vattenfall.com,,Category,,13000,,Energy,,,,,
Apparel,13001,Veidekke ASA,Veidekke ASA,http://veidekke.com,,Show,,13001,,"Architecture, Engineering & Design",,,,,
Apparel,13002,Vicinity Centres,Vicinity Centres,http://vicinity.com.au,,Category,,13002,,Real Estate & Renting,,,,,
Apparel,13003,Vodafone Group,Vodafone Group,http://vodafone.com,,Show,,13003,,Telecommunications Services,,,,,
Apparel,13004,Woolworths Limited,Woolworths,http://woolworthsgroup.com.au,,Show,,13004,owns brands,Department Stores,,,,,
Apparel,13005,Workspace Group,Workspace Group,http://workspace.co.uk,,Category,,13005,,Real Estate & Renting,,,,,
Apparel,13007,Yuanta Financial Holdings,Yuanta Financial Holdings,http://yuanta.com,,Show,,13007,Insurance Carriers,Insurance Carriers,,,,,
