"companyName","_id"
"Pinnacle Financial Partners","620ab7724aaeb67237a37e7f"
"PPL","620ab7724aaeb67237a37e83"
"PNC","620ab7724aaeb67237a37e87"
"Pure Storage, Inc.","620ab7724aaeb67237a37e8b"
"Pluralsight, Inc.","620ab7724aaeb67237a37e8f"
"The Procter & Gamble Company","620ab7724aaeb67237a37e93"
"PTC, Inc.","620ab7724aaeb67237a37e97"
"Peloton","620ab7724aaeb67237a37e9b"
"Primerica","620ab7724aaeb67237a37e9f"
"PVH","620ab7724aaeb67237a37ea3"
"Phillips 66","620ab7724aaeb67237a37ea7"
"Pioneer Natural Resources","620ab7724aaeb67237a37eab"
"Paypal Holdings Inc","620ab7724aaeb67237a37eaf"
"Ryder System, Inc.","620ab7734aaeb67237a37eb3"
"Everest Re Group Ltd","620ab7734aaeb67237a37eb7"
"Qurate Retail Group","620ab7734aaeb67237a37ebb"
"Reata Pharmaceuticals, Inc.","620ab7734aaeb67237a37ebf"
"Royal Caribbean Group","620ab7734aaeb67237a37ec3"
"Reynolds","620ab7734aaeb67237a37ec7"
"Reinsurance Group of America","620ab7734aaeb67237a37ecb"
"Repligen Corporation","620ab7734aaeb67237a37ecf"
"Regions Financial Corporation","620ab7734aaeb67237a37ed3"
"Robert Half International Inc","620ab7734aaeb67237a37ed7"
"RingCentral","620ab7734aaeb67237a37edb"
"Raymond James Financial","620ab7734aaeb67237a37edf"
"Roku, Inc","620ab7734aaeb67237a37ee3"
"RenaissanceRe","620ab7734aaeb67237a37ee7"
"Ross Stores Inc","620ab7734aaeb67237a37eeb"
"Republic Services Inc","620ab7734aaeb67237a37eef"
"Science Applications International Corporation","620ab7744aaeb67237a37ef3"
"Sabre Corp","620ab7744aaeb67237a37ef7"
"RealPage","620ab7744aaeb67237a37efb"
"Roper Technologies, Inc","620ab7744aaeb67237a37eff"
"EchoStar","620ab7744aaeb67237a37f03"
"Service Corporation International","620ab7744aaeb67237a37f07"
"The Boston Beer Company, Inc.","620ab7744aaeb67237a37f0b"
"Charles Schwab Corporation","620ab7744aaeb67237a37f0f"
"Signature Bank","620ab7744aaeb67237a37f13"
"Seaboard Corp","620ab7744aaeb67237a37f17"
"Starbucks Corporation","620ab7744aaeb67237a37f1b"
"Santander","620ab7744aaeb67237a37f1f"
"Sprouts Farmers Market","620ab7744aaeb67237a37f23"
"SEI Investments","620ab7744aaeb67237a37f27"
"SiriusXM Holdings Inc.","620ab7744aaeb67237a37f2b"
"Six Flags Entertainment Corporation","620ab7754aaeb67237a37f2f"
"Silicon Valley Bank","620ab7754aaeb67237a37f33"
"Schlumberger Limited","620ab7754aaeb67237a37f37"
"Skechers","620ab7754aaeb67237a37f3b"
"Sallie Mae","620ab7754aaeb67237a37f3f"
"Smartsheet, Inc.","620ab7754aaeb67237a37f43"
"Schneider National Inc","620ab7754aaeb67237a37f47"
"Synopsis, Inc.","620ab7754aaeb67237a37f4b"
"SYNNEX","620ab7754aaeb67237a37f4f"
"Synovus","620ab7754aaeb67237a37f53"
"Southern Company","620ab7754aaeb67237a37f57"
"Sempra","620ab7754aaeb67237a37f5b"
"S&P Global","620ab7754aaeb67237a37f5f"
"Sterling Bancorp","620ab7754aaeb67237a37f63"
"Stericycle Inc","620ab7754aaeb67237a37f67"
"Extended Stay America","620ab7764aaeb67237a37f6b"
"State Street","620ab7764aaeb67237a37f6f"
"Square","620ab7764aaeb67237a37f73"
"Switch Inc","620ab7764aaeb67237a37f77"
"SolarWinds, Inc.","620ab7764aaeb67237a37f7b"
"Synchrony Financial","620ab7764aaeb67237a37f7f"
"Syneos Health, Inc.","620ab7764aaeb67237a37f83"
"Spectrum Brands","620ab7764aaeb67237a37f87"
"SS&C Technologies, Inc.","620ab7764aaeb67237a37f8b"
"Sysco Corp","620ab7764aaeb67237a37f8f"
"TCF Bank","620ab7764aaeb67237a37f93"
"Splunk, Inc.","620ab7764aaeb67237a37f97"
"Molson Coors","620ab7764aaeb67237a37f9b"
"Teradata Corp","620ab7764aaeb67237a37f9f"
"Telephone & Data Systems","620ab7764aaeb67237a37fa3"
"Truist Financial Corporation","620ab7764aaeb67237a37fa7"
