companyName,companyId,parentName,parentId,removeParent,notes
Stop & Shop,62deef237b212526d1e0405d,Ahold Delhaize USA,62def10b7b212526d1e05ad7,,
The Company Store,62deef297b212526d1e04156,The Home Depot,621b99345f87e75f5365a50d,,
Grass & Air,62deef4f7b212526d1e04518,Parently Group Ltd,62deef487b212526d1e04488,,
Berghaus,62deef4f7b212526d1e0451d,Pentland Brands,62deef487b212526d1e0448d,,
Ellesse,62deef507b212526d1e04523,Pentland Brands,62deef487b212526d1e0448d,,
Endura,62deef517b212526d1e04529,Pentland Brands,62deef487b212526d1e0448d,,
KangaROOS,62deef517b212526d1e0452f,Pentland Brands,62deef487b212526d1e0448d,,
Mitre,62deef517b212526d1e04535,Pentland Brands,62deef487b212526d1e0448d,,
SeaVees,62deef517b212526d1e0453a,Pentland Brands,62deef487b212526d1e0448d,,
Speedo,62deef517b212526d1e04540,Pentland Brands,62deef487b212526d1e0448d,,
HOBBS London,62deef527b212526d1e04546,TFG London,62deef4c7b212526d1e044dc,,
Phase eight,62deef527b212526d1e0454c,TFG London,62deef4c7b212526d1e044dc,,
Whistles,62deef527b212526d1e04552,TFG London,62deef4c7b212526d1e044dc,,
Damsel in a Dress,62deef527b212526d1e04558,TFG London,62deef4c7b212526d1e044dc,,
Trader Joe's,62deef537b212526d1e04575,ALDI Nord,62deef537b212526d1e04570,,
ALDO,62deef537b212526d1e04580,ALDO Group International AG,62deef537b212526d1e0457a,,
Call It Spring,62deef547b212526d1e04586,ALDO Group International AG,62deef537b212526d1e0457a,,
GLOBO,62deef547b212526d1e0458c,ALDO Group International AG,62deef537b212526d1e0457a,,
Sam Edelman,62deef577b212526d1e045d2,Caleres,62deef577b212526d1e045cc,,
Famous Footwear,62deef9f7b212526d1e045d8,Caleres,62deef577b212526d1e045cc,,
Naturalizer,62deef9f7b212526d1e045de,Caleres,62deef577b212526d1e045cc,,
Vionic Shoes,62deefa07b212526d1e045e4,Caleres,62deef577b212526d1e045cc,,
Franco Sarto,62deefa07b212526d1e045ea,Caleres,62deef577b212526d1e045cc,,
Allen Edmonds,62deefa07b212526d1e045f0,Caleres,62deef577b212526d1e045cc,,
Bzees,62deefa07b212526d1e045f6,Caleres,62deef577b212526d1e045cc,,
Vince,62deefa07b212526d1e045fc,Caleres,62deef577b212526d1e045cc,,
LifeStride,62deefa17b212526d1e04602,Caleres,62deef577b212526d1e045cc,,
Veronica Beard,62deefa17b212526d1e04608,Caleres,62deef577b212526d1e045cc,,
Dr. Scholl's,62deefa17b212526d1e0460e,Caleres,62deef577b212526d1e045cc,,
Blowfish Malibu,62deefa27b212526d1e04614,Caleres,62deef577b212526d1e045cc,,
Circus NY,62deefa27b212526d1e0461a,Caleres,62deef577b212526d1e045cc,,
Ryka,62deefa37b212526d1e04620,Caleres,62deef577b212526d1e045cc,,
Zodiac Shoes,62deefa37b212526d1e04626,Caleres,62deef577b212526d1e045cc,,
Chaumet,62deefff7b212526d1e047f8,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Tag Heuer,62deefff7b212526d1e047fe,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Zenith,62deefff7b212526d1e04803,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Bulgari,62deefff7b212526d1e04809,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Fred Joaillier,62deefff7b212526d1e0480f,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Repossi,62deefff7b212526d1e04815,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Hublot,62deefff7b212526d1e0481b,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Marc Jacobs,62deefff7b212526d1e04821,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Kenzo,62def0007b212526d1e04827,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Givenchy,62def0007b212526d1e0482d,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Emilio Pucci,62def0007b212526d1e04833,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Christian Dior,62def0017b212526d1e04839,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Celine,62def0017b212526d1e0483f,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Loro Piana,62def0017b212526d1e04845,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Fendi,62def0027b212526d1e0484b,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Patou,62def0027b212526d1e04851,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Rimowa,62def0027b212526d1e04857,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Berluti,62def0027b212526d1e0485d,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Louis Vuitton,62def0027b212526d1e04863,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Loewe,62def0027b212526d1e0486f,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Moynat,62def0037b212526d1e04875,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Sephora,62def0037b212526d1e0487b,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Clos des Lambrays,62def0037b212526d1e04881,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
ChÃ¢teau d'Yquem,62def0037b212526d1e04887,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Dom PÃ©rignon,62def0037b212526d1e0488d,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Maison Ruinart,62def0037b212526d1e04893,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
MoÃ«t & Chandon,62def0047b212526d1e04899,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Hennessy,62def0047b212526d1e0489f,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Veuve Clicquot,62def0047b212526d1e048a5,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Ardbeg,62def0057b212526d1e048ab,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
ChÃ¢teau Cheval Blanc's,62def0057b212526d1e048b1,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Glenmorangie,62def0057b212526d1e048b7,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Krug,62def0057b212526d1e048bd,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Mercier,62def0067b212526d1e048c3,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
Cape Mentelle,62def0067b212526d1e048c9,LVMH - Moet Hennessy Louis Vuitton,62deefff7b212526d1e047f2,,
