legacyId,companyName,primaryDataSource,parentCompanyId,SaferChoice,Expiration: SaferChoice,A List CDP - Climate Change,Expiration: A List CDP - Climate Change,A List CDP - Water Security,Expiration: A List CDP - Water Security,A List CDP - Forests,Expiration: A List CDP - Forests,Green Seal,Expiration: Green Seal,1% For The Planet,Expiration: 1% For The Planet,Fair Labor Association,Expiration: Fair Labor Association,Leaping Bunny Certified,Expiration: Leaping Bunny Certified,GOTS (Global Organic Textile Standard),Expiration: GOTS (Global Organic Textile Standard),BCI - Better Cotton Initiative,Expiration: BCI - Better Cotton Initiative,Responsible Jewellery Council,Expiration: Responsible Jewellery Council,Fairtrade Federation,Expiration: Fairtrade Federation,World Fair Trade Organization,Expiration: World Fair Trade Organization,Fairtrade International,Expiration: Fairtrade International,GoodWeave,Expiration: GoodWeave,OCS (Organic Content Standard),Expiration: OCS (Organic Content Standard),Women Owned Directory,Expiration: Women Owned Directory,Plant Based Foods Association,Expiration: Plant Based Foods Association,Rainforest Alliance Certified,Expiration: Rainforest Alliance Certified,RE100,Expiration: RE100,Ethical Trading Initiative(ETI),Expiration: Ethical Trading Initiative(ETI),Leather Working Group(LWG),Expiration: Leather Working Group(LWG),Slave Free Chocolate,Expiration: Slave Free Chocolate,Sustainable Packaging Coalition,Expiration: Sustainable Packaging Coalition,American Humane Certified,Expiration: American Humane Certified
12043,Jitasa,B-Corp,12043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12044,Found My Animal,B-Corp,12044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12045,Vista Caballo,B-Corp,12045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12046,KYA Inc,B-Corp,12046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12047,"Home Care Associates of Philadelphia, Inc.",B-Corp,12047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12048,GOOD Worldwide Inc.,B-Corp,12048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12049,Baldwin&,B-Corp,12049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12050,Purpose,B-Corp,12050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12051,Beneficial State Bank,B-Corp,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12052,Ben and Jerry's,B-Corp,12052,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4/15,,,,,,,,,,,,,,,,,,,,,,
12053,TMI Consulting,B-Corp,12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12054,Klean Kanteen,B-Corp,12054,,,,,,,,,,,1,4/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12055,Luscious Garage,B-Corp,12055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12056,GladRags,B-Corp,12056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12057,KAMMOK,B-Corp,12057,,,,,,,,,,,1,4/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12058,4th Bin Inc.,B-Corp,12058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12059,Oaklandish,B-Corp,12059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12060,Cabot Creamery Co-operative,B-Corp,12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12061,Sea to Table,B-Corp,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12062,Iroquois Valley Farmland REIT,B-Corp,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12063,3Degrees Group Inc.,B-Corp,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12064,Form & Faculty,B-Corp,12064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12065,TerraCarbon,B-Corp,12065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12066,TCC Group,B-Corp,12066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12067,Bhakti Chai,B-Corp,12067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12068,PWPvideo,B-Corp,12068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12069,Communitas Financial Planning,B-Corp,12069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12070,Feronia Forests LLC,B-Corp,12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12071,"Urban Green Development, LLC",B-Corp,12071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12072,"Varsity Technologies, Inc.",B-Corp,12072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12073,Cooperative Home Care Associates (CHCA),B-Corp,12073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12074,Better Way Designs,B-Corp,12074,,,,,,,,,,,,,,,,,,,,,,,1,4/30,,,,,,,,,,,,,,,,,,,,,,,,,,
12075,"Wire Media, LLC",B-Corp,12075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12076,"Back to the Roots, Inc.",B-Corp,12076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12077,Beyond Green Sustainable Food Partners,B-Corp,12077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12078,SunCommon,B-Corp,12078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12079,Arabella Advisors,B-Corp,12079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12080,Sencha Naturals,B-Corp,12080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12081,Virginia Community Capital,B-Corp,12081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082,Matter Unlimited,B-Corp,12082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12083,Mark Leibowitz Photography Inc.,B-Corp,12083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12084,Rubicon Bakers,B-Corp,12084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12085,Social(k),B-Corp,12085,,,,,,,,,,,1,4/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12086,Bixbee,B-Corp,12086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12087,Roundpeg Benefit LLC,B-Corp,12087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12088,Rubicon,B-Corp,12088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12089,Third Sun Solar,B-Corp,12089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
