ticker,legacyId,companyName,justCapital_metric_Workforce Demographics,justCapital_metric_Health and Safety Policies,justCapital_metric_Local Employment Pipeline,justCapital_metric_Worker Benefits Package,justCapital_metric_Human Rights Reporting,justCapital_metric_Labor & Human Rights Commitment,justCapital_metric_Work-Life Balance,justCapital_metric_Actions to Support Human Rights Commitment,justCapital_metric_Supplier Requirements on Labor & Human Rights,justCapital_metric_Opportunities for Local Businesses,justCapital_metric_Human Rights Supply Chain Safeguards,justCapital_metric_Local School Support,justCapital_metric_Related Party Transactions,justCapital_metric_Board Diversity,justCapital_metric_SEC Filings Review,justCapital_metric_Commitment to Following Laws & Regulations,justCapital_metric_Privacy Policies,justCapital_metric_Sustainable Products and Services,justCapital_metric_Local Community Engagement,justCapital_metric_Scope 1 Plus 2 Greenhouse Gas Emissions,justCapital_metric_Renewable Energy Percentage_0.5,justCapital_metric_Renewable Energy Percentage_1,"justCapital_metric_Diversity, Equity, and Inclusion Policies",justCapital_metric_Transparent Charitable Giving,justCapital_metric_Resource Use,justCapital_metric_Climate Commitments
CI,10172,Cigna Corporation,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,,1,1,0,1
CHTR,10171,Charter Communications Inc,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,0,1,0,0
CHRW,10170,CH Robinson Worldwide Inc,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,,0,0,0,1
CHH,10169,Choice Hotels International Inc,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,,1,1,0,0
CHGG,10168,"Chegg, Inc.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
CHE,10167,Chemed Corp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
CHD,10166,Church & Dwight Co Inc,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,,1,0,1,0,1
CGNX,10165,Cognex Corp,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,,0,0,0,0
CG,10164,Carlyle Group,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,0,1,1,1
CFX,10163,Colfax Corp,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
CFR,10162,Cullen/Frost Bankers Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0
CFG,10161,Citizens Financial Group Inc,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,,1,1,0,0
CF,10160,CF Industries Holdings Inc,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,,0,1,0,1
CERN,10159,Cerner Corp,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,,0,1,0,0
CE,10158,Celanese Corporation,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
CDW,10157,CDW Corporation,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,,1,1,0,0
CDNS,10156,Cadence Design Systems Inc,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,,1,0,0,1
CDK,10155,CDK Global Inc,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
CDAY,10154,Ceridian HCM Holding Inc,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
CCL,10153,Carnival Corporation,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,,0,1,0,1
CCK,10152,"Crown Holdings, Inc.",0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,0,0,0,1
CCI,10151,Crown Castle International Corp,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,,1,1,0,0
CC,10150,The Chemours Company,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,,1,0,0,1
CBSH,10148,"Commerce Bancshares, Inc.",0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,,0,0,0,0
CBRE,10147,"CBRE Group, Inc.",1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,,0,1,0,1
CBOE,10146,"Cboe Global Markets, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,,0,0,0,0
CB,10145,Chubb Limited,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,0,1,0,1
CAT,10144,Caterpillar Inc.,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,,1,1,1,1
CASY,10143,Casey's General Stores Inc,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,0
CARR,10142,Carrier Global Corp.,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,1,1,1,1
CAH,10141,"Cardinal Health, Inc.",1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,,1,1,0,0
CAG,10140,"Conagra Brands, Inc.",1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,,1,1,1,1
CACI,10139,CACI International,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,,0,0,0,0
CACC,10138,Credit Acceptance Corp,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0
CABO,10137,Cable One Inc,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,0,0,0,0
C,10136,Citigroup Inc.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,,1,1,1,0,1
BYND,10135,"Beyond Meat, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
BXP,10134,Boston Properties,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,,0,1,0,1
BWXT,10133,"BWX Technologies, Inc.",0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,,0,0,0,0
BWA,10132,BorgWarner Inc,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,,0,1,0,1
BURL,10131,Burlington Stores Inc,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,,0,0,0,0
BSX,10130,Boston Scientific Corp,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,,1,1,1,1
BRO,10129,Brown & Brown Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0
BRKR,10128,Bruker Corp,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0
BRK.B,10127,Berkshire Hathaway Inc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0,0
BR,10126,Broadridge Financial Solutions,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,,0,0,0,1
BPOP,10125,Popular Inc.,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,,0,0,0,0
BOKF,10124,BOK Financial Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,1,0,0
BOH,10123,Bank of Hawaii Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0,1,0,0
BMY,10122,Bristol-Myers Squibb Co,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,0,1
BLL,10119,Ball Corp,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,,1,1,0,1
BLK,10118,BlackRock Inc,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,,1,1,0,0,1
BKR,10117,Baker Hughes Company,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,,0,0,0,1
BKNG,10116,Booking Holdings Inc.,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,,0,1,0,0
BKI,10115,"Black Knight, Inc.",0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,,0,0,0,0
BILL,10112,"Bill.com Holdings, Inc.",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,0,1,0,0
BIIB,10111,Biogen Inc.,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,,1,1,0,1
BHF,10110,Brighthouse Financial Inc,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,0,0,0,0
BG,10109,Bunge Ltd,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,,0,1,1,1
BFAM,10108,Bright Horizons Family Solutions Inc,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,,0,0,0,0
BF.B,10107,Brown-Forman Corp,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,,1,1,1,1
BERY,10106,"Berry Global Group, Inc.",0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,,0,0,0,1
BEN,10105,"Franklin Resources, Inc.",0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,,0,0,0,1
BDX,10104,"Becton, Dickinson and Company",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,,0,1,0,1
BC,10103,Brunswick Corp,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,,0,1,0,0
BBY,10102,"Best Buy Co., Inc.",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,1,1,1,1
BAX,10101,Baxter International Inc,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,,1,1,0,1
BAH,10100,Booz Allen Hamilton Holding Corp,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,,0,1,0,0
