"id","name","found"
"10657","Packaging Corporation of America",true
"10658","PerkinElmer Inc",true
"10659","Anaplan, Inc.",true
"10660","ProLogis Inc",true
"10661","Planet Fitness, Inc.",true
"10662","PNC Financial Services Group Inc",true
"10663","Pinnacle Financial Partners Inc",true
"10664","Pentair Plc",true
"10665","Pinnacle West Capital Corp",true
"10666","Insulet Corp",true
"10667","Pool Corp",true
"10668","Post Holdings, Inc.",true
"10669","Pilgrims Pride Corporation",true
"10670","PPD",true
"10671","PPG Industries Inc",true
"10672","PPL Corp",true
"10673","PRA Health Sciences, Inc.",true
"10674","Perrigo Co PLC",true
"10675","Primerica, Inc.",true
"10676","Prudential Financial Inc",true
"10677","Pluralsight, Inc.",true
"10678","Public Storage",true
"10679","Pure Storage Inc",true
"10680","Phillips 66",true
"10681","PTC Inc.",true
"10682","Peloton",true
"10683","PVH Corp.",true
"10684","Quanta Services Inc",true
"10685","Pioneer Natural Resources Company",true
"10686","Paypal Holdings Inc",true
"10687","Qualcomm Inc",true
"10688","QUIDEL CORP",true
"10689","Qurate Retail, Inc.",true
"10690","Qorvo Inc",true
"10691","Ryder System, Inc.",true
"10692","Regal-Beloit Corp",true
"10693","Royal Caribbean Group",true
"10694","Everest Re Group Ltd",true
"10695","Regeneron Pharmaceuticals Inc",true
"10696","Reata Pharmaceuticals, Inc.",true
"10697","Reynolds Consumer Products Inc.",true
"10698","Regions Financial Corporation",true
"10699","Reinsurance Group of America Inc",true
"10700","Repligen Corporation",true
"10701","Royal Gold Inc",true
"10702","Robert Half International Inc",true
"10703","Raymond James Financial Inc",true
"10704","Ralph Lauren Corp",true
"10705","ResMed Inc",true
"10706","RingCentral Inc",true
"10707","RenaissanceRe Holdings Ltd",true
"10708","Rockwell Automation Inc",true
"10709","Roku, Inc",true
"10710","Rollins Inc",true
"10711","Roper Technologies, Inc",true
"10712","Ross Stores Inc",true
"10713","RealPage",true
"10714","RPM International Inc",true
"10715","Reliance Steel & Aluminum Co",true
"10716","Republic Services Inc",true
"10717","Raytheon Technologies Corp",true
"10718","Sabre Corp",true
"10719","Sage Therapeutics Inc",true
"10720","Science Applications International Corporation",true
"10721","The Boston Beer Company, Inc.",true
"10722","EchoStar Corp",true
"10723","SBA Communications Corp",true
"10724","Signature Bank",true
"10725","Starbucks Corporation",true
"10726","Santander Consumer USA Holdings Inc",true
"10727","Southern Copper Corporation",true
"10728","Charles Schwab Corporation",true
"10729","Service Corporation International",true
"10730","Seaboard Corp",true
"10731","Solaredge",true
"10732","Sealed Air Corp",true
"10733","SEI Investments Co",true
"10734","Sprouts Farmers Market Inc",true
"10735","Seagen Inc",true
"10736","The Sherwin-Williams Company",true
"10737","SiriusXM Holdings Inc.",true
"10738","SVB Financial Group",true
"10739","Six Flags Entertainment Corporation",true
"10740","The J. M. Smucker Company",true
"10741","Skechers U.S.A., Inc.",true
"10742","Schlumberger Limited",true
"10743","SL Green Realty Corp",true
"10744","Silgan Holdings Inc",true
"10745","SLM Corporation",true
"10746","Smartsheet Inc.",true
"10747","The Scotts Miracle-Gro Company",true
"10748","Snap-On Inc",true
"10749","Schneider National Inc",true
"10750","Synopsys Inc",true
"10751","Synovus Financial Corp",true
"10752","SYNNEX Corpration",true
"10753","The Southern Company",true
"10754","Sonoco Products Company",true
"10755","Spectrum Brands Holdings Inc",true
"10756","Virgin Galactic",true
"10757","Simon Property Group Inc",true
"10758","S&P Global Inc.",true
"10759","Splunk Inc",true
"10760","Spirit Aerosystems Holdings Inc",true
"10761","Square Inc",true
"10762","Stericycle Inc",true
"10763","Sempra Energy",true
"10764","Sarepta Therapeutics, Inc.",true
"10765","SS&C Technologies, Inc.",true
"10766","Sensata Technologies Holding plc",true
"10767","Extended Stay America Inc",true
"10768","STERIS plc",true
"10769","Sterling Bancorp",true
"10770","Steel Dynamics Inc",true
"10771","State Street Corp",true
"10772","Constellation Brands Inc",true
"10773","Sun Communities Inc",true
"10774","Switch Inc",true
"10775","Solarwinds, Inc.",true
"10776","Stanley Black & Decker, Inc.",true
"10777","Skyworks Solutions Inc",true
"10778","Synchrony Financial",true
"10779","Stryker Corp",true
"10780","Syneos Health, Inc.",true
"10781","Sysco Corp",true
"10782","AT&T Inc",true
"10783","Molson Coors Brewing Company",true
"10784","TCF Financial Corp",true
"10785","Teradata Corp",true
"10786","TransDigm Group Inc",true
"10787","Teladoc Health",true
"10788","Telephone & Data Systems Inc",true
"10789","Teledyne Technologies Inc",true
"10790","Bio-Techne Corp",true
"10791","Teradyne Inc",true
"10792","Truist Financial Corporation",true
"10793","TFS Financial Corp",true
"10794","Teleflex Inc",true
"10795","Target Corporation",true
"10796","The Hanover Insurance Group, Inc.",true
"10797","Thor Industries Inc",true
"10798","TreeHouse Foods Inc",true
"10799","Tiffany & Co.",true
"10800","The TJX Companies, Inc.",true
