action,type,original,companyId,companyName
ADD,MANUAL,Bpcaro,62def24a7b212526d1e07975,
ADD,MANUAL,Bptaylor's,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfour,62def24a7b212526d1e07975,
ADD,MANUAL,Petro,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgaga,62def24a7b212526d1e07975,
ADD,MANUAL,Bparlington,62def24a7b212526d1e07975,
ADD,MANUAL,Bparlingtonqps,62def24a7b212526d1e07975,
ADD,MANUAL,Bplotter's,62def24a7b212526d1e07975,
ADD,MANUAL,Bphartsdale,62def24a7b212526d1e07975,
ADD,MANUAL,Montgomer,62def24a7b212526d1e07975,
ADD,MANUAL,Madison,62def24a7b212526d1e07975,
ADD,MANUAL,Mayfqps,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbagley,62def24a7b212526d1e07975,
ADD,MANUAL,Bpmadison,62def24a7b212526d1e07975,
ADD,MANUAL,Bpsahay,62def24a7b212526d1e07975,
ADD,MANUAL,Bppar,62def24a7b212526d1e07975,
ADD,MANUAL,Bpwfs-,62def24a7b212526d1e07975,
ADD,MANUAL,Bpozer,62def24a7b212526d1e07975,
ADD,MANUAL,Bpwhalen's,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbroo,62def24a7b212526d1e07975,
ADD,MANUAL,Bpb&r-,62def24a7b212526d1e07975,
ADD,MANUAL,Bpkennedy,62def24a7b212526d1e07975,
ADD,MANUAL,Griff,62def24a7b212526d1e07975,
ADD,MANUAL,Bpvirks,62def24a7b212526d1e07975,
ADD,MANUAL,Marengo D,62def24a7b212526d1e07975,
ADD,MANUAL,Bpharvest,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgo-mart,62def24a7b212526d1e07975,
ADD,MANUAL,Calvinklein,621b99bb5f87e75f5365f33d,
ADD,MANUAL,Casey's,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Altoona,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Blackwe,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys East Peoria,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Gen,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Gen Sto,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Lebo,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Pizza,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Pleasant,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Store,621b99305f87e75f5365a2b1,
ADD,MANUAL,Monaco,621b99bb5f87e75f5365f359,
ADD,MANUAL,Club Monaco Us LLC,621b99bb5f87e75f5365f359,
ADD,MANUAL,Brands Usa,621b99315f87e75f5365a341,
ADD,MANUAL,Comcast,621b99315f87e75f5365a301,
ADD,MANUAL,Crate&barrel Cb2,62def33f7b212526d1e089fd,
ADD,MANUAL,Crate&barrel Cb2 Nod,62def33f7b212526d1e089fd,
ADD,MANUAL,Crateandbar,62def33f7b212526d1e089fd,
ADD,MANUAL,CVS,621b99b15f87e75f5365edcd,
ADD,MANUAL,Cvs Caremark,621b99b15f87e75f5365edcd,
ADD,MANUAL,Cvsstore,621b99b15f87e75f5365edcd,
ADD,MANUAL,Disney Plu,621b99b25f87e75f5365ee55,
ADD,MANUAL,Dollar General,621b99325f87e75f5365a389,
ADD,MANUAL,Dollar Tr,621b99325f87e75f5365a3a1,
ADD,MANUAL,Dd Doordash,62def1427b212526d1e06483,
ADD,MANUAL,E.l.f. Cosmetics,62def3137b212526d1e08442,
ADD,MANUAL,Elf Cosmetics,62def3137b212526d1e08442,
ADD,MANUAL,Elfcosmetic,62def3137b212526d1e08442,
ADD,MANUAL,Hotelscom,621b99335f87e75f5365a459,
