"id","name","score"
"62192d46f022c9e3fbfe429d","Paychex",-6.5
"62192d46f022c9e3fbfe42a1","O'Reilly Automotive",-15
"62192d46f022c9e3fbfe42a5","Penske Automotive Group",-10.5
"62192d46f022c9e3fbfe42a9","Palo Alto Networks",6
"62192d46f022c9e3fbfe42ad","Peoples United Financial",-12.5
"62192d46f022c9e3fbfe42b1","Prosperity Bancshares",0
"62192d46f022c9e3fbfe42b5","Paylocity Holding Corporation",-12
"62192d46f022c9e3fbfe42b9","PagerDuty",0
"62192d46f022c9e3fbfe42bd","Paycom Software",-11.5
"62192d47f022c9e3fbfe42c1","PG&E Corporation",-1
"62192d47f022c9e3fbfe42c5","Principal Financial Group",-4.5
"62192d47f022c9e3fbfe42c9","Proofpoint",0
"62192d47f022c9e3fbfe42cd","Public Service Enterprise Group",-3.5
"62192d47f022c9e3fbfe42d1","The Progressive",-3
"62192d47f022c9e3fbfe42d5","Prudential Financial",-2
"62192d47f022c9e3fbfe42d9","Regions Financial",-1.5
"62192d47f022c9e3fbfe42dd","Pluralsight",0
"62192d47f022c9e3fbfe42e1","PPL",-1
"62192d47f022c9e3fbfe42e5","Repligen Corporation",-12.5
"62192d47f022c9e3fbfe42e9","Pure Storage",-8.5
"62192d47f022c9e3fbfe42ed","Primerica",-12.5
"62192d47f022c9e3fbfe42f1","Reinsurance Group of America",-6.5
"62192d47f022c9e3fbfe42f5","Pinnacle Financial Partners",-11
"62192d47f022c9e3fbfe42f9","Premier",-11
"62192d47f022c9e3fbfe42fd","Robert Half International",-3.5
"62192d47f022c9e3fbfe4301","RealPage",0
"62192d47f022c9e3fbfe4305","Pegasystems",-11
"62192d47f022c9e3fbfe4309","PulteGroup",-12.5
"62192d47f022c9e3fbfe430d","Roku",-12
"62192d47f022c9e3fbfe4311","Ross",-11
"62192d47f022c9e3fbfe4315","Anaplan",-10.5
"62192d47f022c9e3fbfe4319","Reata Pharmaceuticals",0
"62192d47f022c9e3fbfe431d","Everest Re Group",-11.5
"62192d47f022c9e3fbfe4321","Pinnacle West Capital",-7
"62192d47f022c9e3fbfe4325","Paypal Holdings",6.5
"62192d47f022c9e3fbfe4329","Pinterest",-12
"62192d47f022c9e3fbfe432d","The Procter & Gamble Company",4
"62192d47f022c9e3fbfe4331","Raymond James Financial",-4.5
"62192d47f022c9e3fbfe4335","Phillips 66",-6.5
"62192d47f022c9e3fbfe4339","RingCentral",-9.5
"62192d47f022c9e3fbfe433d","Planet Fitness",-10.5
"62192d47f022c9e3fbfe4341","Qurate Retail",-4.5
"62192d47f022c9e3fbfe4345","Peloton",-11.5
"62192d47f022c9e3fbfe4349","The Boston Beer Company",-11
"62192d47f022c9e3fbfe434d","RenaissanceRe Holdings",-8
"62192d48f022c9e3fbfe4351","PVH",2
"62192d48f022c9e3fbfe4355","Royal Caribbean Group",-6.5
"62192d48f022c9e3fbfe4359","Ryder System",-7
"62192d48f022c9e3fbfe435d","Pioneer Natural Resources Company",-9.5
"62192d48f022c9e3fbfe4361","Charles Schwab Corporation",-10.5
"62192d48f022c9e3fbfe4365","Santander Consumer USA Holdings",-9.5
"62192d48f022c9e3fbfe4369","Science Applications International",0
"62192d48f022c9e3fbfe436d","Starbucks",6
"62192d48f022c9e3fbfe4371","PTC",-9.5
"62192d48f022c9e3fbfe4375","PNC Financial Services Group",-1
"62192d48f022c9e3fbfe4379","Sprouts Farmers Market",0
"62192d48f022c9e3fbfe437d","EchoStar",0
"62192d48f022c9e3fbfe4381","Signature Bank",-11.5
"62192d48f022c9e3fbfe4385","Service Corporation International",0
"62192d48f022c9e3fbfe4389","Republic Services",-5
"62192d48f022c9e3fbfe438d","Sabre",-12
"62192d48f022c9e3fbfe4391","Six Flags Entertainment",-11.5
"62192d48f022c9e3fbfe4395","Schlumberger",-6.5
"62192d48f022c9e3fbfe4399","SLM Corporation",-9.5
"62192d48f022c9e3fbfe439d","SEI Investments Co",-13
"62192d48f022c9e3fbfe43a1","Reynolds Consumer Products",-14
"62192d48f022c9e3fbfe43a5","Skechers",-14
"62192d48f022c9e3fbfe43a9","Seaboard",-12.5
"62192d48f022c9e3fbfe43ad","SVB Financial Group",-5.5
"62192d48f022c9e3fbfe43b1","Schneider National",-7
