"userId","merchantFrequencies"
"621b99255f87e75f53659c90","[{""company"":""GrubHub"",""frequency"":1},{""company"":""Colgate"",""frequency"":1},{""company"":""Walmart"",""frequency"":2},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":3},{""company"":""Old Navy"",""frequency"":1},{""company"":""Microsoft"",""frequency"":56},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Best Buy"",""frequency"":81},{""company"":""Sezzle"",""frequency"":3}]"
"621b99255f87e75f53659c9c","[{""company"":""Walmart"",""frequency"":2},{""company"":""CVS Pharmacy"",""frequency"":15},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Best Buy"",""frequency"":5},{""company"":""Nespresso"",""frequency"":2},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Vans"",""frequency"":1},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Kohl's"",""frequency"":1},{""company"":""Sezzle"",""frequency"":4},{""company"":""Maytag"",""frequency"":2},{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""Microsoft"",""frequency"":17},{""company"":""Lemonade"",""frequency"":13},{""company"":""Staples"",""frequency"":8}]"
"621b99255f87e75f53659cc4","[{""company"":""Costco"",""frequency"":59},{""company"":""Panera Bread"",""frequency"":4},{""company"":""Best Buy"",""frequency"":2},{""company"":""Pacifica"",""frequency"":1},{""company"":""Kohl's"",""frequency"":1},{""company"":""Office Depot"",""frequency"":1},{""company"":""Nordstrom"",""frequency"":2},{""company"":""Expedia"",""frequency"":7},{""company"":""Walgreens Co."",""frequency"":14},{""company"":""Vans"",""frequency"":2},{""company"":""H&M"",""frequency"":1},{""company"":""Famous Footwear"",""frequency"":2},{""company"":""Macy's Inc."",""frequency"":1},{""company"":""American Eagle Outfitters"",""frequency"":8},{""company"":""Rite Aid"",""frequency"":5},{""company"":""Walmart"",""frequency"":5},{""company"":""HP"",""frequency"":14},{""company"":""Hertz Global Holdings Inc."",""frequency"":2},{""company"":""GrubHub"",""frequency"":1},{""company"":""Microsoft"",""frequency"":7},{""company"":""Old Navy"",""frequency"":2}]"
"621b99255f87e75f53659ccc","[{""company"":""Food Lion"",""frequency"":47},{""company"":""Athleta"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":6},{""company"":""Glossier"",""frequency"":1},{""company"":""American Eagle Outfitters"",""frequency"":1},{""company"":""Staples"",""frequency"":1},{""company"":""Walmart"",""frequency"":53},{""company"":""CVS Pharmacy"",""frequency"":74},{""company"":""Office Depot"",""frequency"":1},{""company"":""Groupon Inc."",""frequency"":3},{""company"":""GrubHub"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":12}]"
"621b99255f87e75f53659cdc","[{""company"":""Walmart"",""frequency"":1},{""company"":""Rite Aid"",""frequency"":2},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""Panera Bread"",""frequency"":1}]"
"621b99255f87e75f53659ce0","[{""company"":""GrubHub"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":19},{""company"":""Walgreens Co."",""frequency"":6},{""company"":""Southwest Airlines Co."",""frequency"":2},{""company"":""Sephora"",""frequency"":3},{""company"":""Walmart"",""frequency"":14},{""company"":""Altra"",""frequency"":2},{""company"":""H&M"",""frequency"":1},{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""Macy's Inc."",""frequency"":1},{""company"":""Groupon Inc."",""frequency"":6}]"
"621b99255f87e75f53659cf0","[{""company"":""Walgreens Co."",""frequency"":4},{""company"":""Verizon Communications"",""frequency"":4},{""company"":""AT&T"",""frequency"":1},{""company"":""Walmart"",""frequency"":35},{""company"":""Giant Food"",""frequency"":1},{""company"":""Office Depot"",""frequency"":1},{""company"":""GrubHub"",""frequency"":6},{""company"":""Lemonade"",""frequency"":3}]"
"621b99265f87e75f53659d04","[{""company"":""Walmart"",""frequency"":10},{""company"":""TransUnion"",""frequency"":1},{""company"":""Best Buy"",""frequency"":1}]"
"621b99265f87e75f53659d10","[{""company"":""Best Buy"",""frequency"":4},{""company"":""Panera Bread"",""frequency"":3},{""company"":""Office Depot"",""frequency"":1},{""company"":""Madewell"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""Verizon Communications"",""frequency"":33},{""company"":""H&M"",""frequency"":1},{""company"":""Southwest Airlines Co."",""frequency"":6},{""company"":""Rite Aid"",""frequency"":2},{""company"":""CVS Pharmacy"",""frequency"":11},{""company"":""Staples"",""frequency"":2},{""company"":""GrubHub"",""frequency"":4},{""company"":""Walmart"",""frequency"":6},{""company"":""Microsoft"",""frequency"":1},{""company"":""Nike"",""frequency"":1}]"
"621b99265f87e75f53659d18","[{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""JustAnswer"",""frequency"":2},{""company"":""weightwatchers"",""frequency"":5},{""company"":""Best Buy"",""frequency"":1},{""company"":""Walmart"",""frequency"":13},{""company"":""Kohl's"",""frequency"":2},{""company"":""Old Navy"",""frequency"":4},{""company"":""Walgreens Co."",""frequency"":26}]"
