"companyId","companyName","parentId","parentName"
"62192d3df022c9e3fbfe3da1","Booz Allen Hamilton Holding",,
"62192d3df022c9e3fbfe3da5","American Financial Group",,
"62192d3df022c9e3fbfe3da9","Bill.com",,
"62192d3df022c9e3fbfe3dad","Avalara, Inc.",,
"62192d3df022c9e3fbfe3db1","CACI International",,
"62192d3df022c9e3fbfe3db5","Bright Horizons Family Solutions",,
"62192d3df022c9e3fbfe3db9","American Water",,
"62192d3df022c9e3fbfe3dbd","AptarGroup",,
"62192d3df022c9e3fbfe3dc1","Brighthouse Financial",,
"62192d3ef022c9e3fbfe3dc5","Burlington Stores",,
"62192d3ef022c9e3fbfe3dc9","Booking Holdings",,
"62192d3ef022c9e3fbfe3dcd","Beyond Meat",,
"62192d3ef022c9e3fbfe3dd1","American National Group",,
"62192d3ef022c9e3fbfe3dd5","BlackRock",,
"62192d3ef022c9e3fbfe3dd9","Axis Capital Holdings",,
"62192d3ef022c9e3fbfe3ddd","Apollo Global",,
"62192d3ef022c9e3fbfe3de1","Aspen Technology",,
"62192d3ef022c9e3fbfe3de5","Ansys, Inc.",,
"62192d3ef022c9e3fbfe3de9","TD Ameritrade",,
"62192d3ef022c9e3fbfe3ded","Aon",,
"62192d3ef022c9e3fbfe3df1","Bank of America",,
"62192d3ef022c9e3fbfe3df5","Brown & Brown",,
"62192d3ef022c9e3fbfe3df9","Popular Bank",,
"62192d3ef022c9e3fbfe3dfd","Franklin Resources",,
"62192d3ef022c9e3fbfe3e01","Citigroup",,
"62192d3ef022c9e3fbfe3e05","Athene",,
"62192d3ef022c9e3fbfe3e09","Cboe",,
"62192d3ef022c9e3fbfe3e0d","Casey's General Stores",,
"62192d3ef022c9e3fbfe3e11","Broadridge Financial Solutions",,
"62192d3ef022c9e3fbfe3e15","Commerce Bank",,
"62192d3ef022c9e3fbfe3e19","Brown-Forman",,
"62192d3ef022c9e3fbfe3e1d","Best Buy",,
"62192d3ef022c9e3fbfe3e21","Chubb",,
"62192d3ef022c9e3fbfe3e25","Berkshire Hathaway",,
"62192d3ef022c9e3fbfe3e29","Cable One",,
"62192d3ef022c9e3fbfe3e2d","CDWration",,
"62192d3ef022c9e3fbfe3e31","C.H. Robinson",,
"62192d3ef022c9e3fbfe3e35","Chipotle Mexican Grill",,
"62192d3ef022c9e3fbfe3e39","Continental Resources",,
"62192d3ef022c9e3fbfe3e3d","CDK Global",,
"62192d3ef022c9e3fbfe3e41","CoreLogic",,
"62192d3ef022c9e3fbfe3e45","Ciena",,
"62192d3ef022c9e3fbfe3e49","Carlyle Group",,
"62192d3ef022c9e3fbfe3e4d","Comerica",,
"62192d3ff022c9e3fbfe3e51","Cincinnati Financial",,
"62192d3ff022c9e3fbfe3e55","Comcast",,
"62192d3ff022c9e3fbfe3e59","Ceridian HCM Holding",,
"62192d3ff022c9e3fbfe3e5d","CME Group",,
"62192d3ff022c9e3fbfe3e61","Carnival Corporation",,
"62192d3ff022c9e3fbfe3e65","Cadence Design Systems",,
"62192d3ff022c9e3fbfe3e69","CNA Financial",,
"62192d3ff022c9e3fbfe3e6d","Cerner",,
"62192d3ff022c9e3fbfe3e71","Spectrum",,
"62192d3ff022c9e3fbfe3e75","Colgate-Palmolive",,
"62192d3ff022c9e3fbfe3e79","The Clorox Company",,
"62192d3ff022c9e3fbfe3e7d","Clean Harbors",,
