companyId,companyName,dataSourceId,dataSourceName,action,expiration,value,isPrimary,primaryReplacementDataSourceId
621b99e75f87e75f53660ce9,Sensai Cosmetics,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b99e75f87e75f53660cf9,CMPC Biopackaging,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660cfd,Oribe,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d01,Goldwell,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d09,RMK,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d0d,Merries,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b99e75f87e75f53660d11,Molton Brown,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d15,Suqqu,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d19,Stylenanda,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d1d,Maybelline New York,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d25,kms,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d29,NYX Professional Makeup,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d2d,Biotherm,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e75f87e75f53660d35,Kiehl's Since 1851,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660d3d,Lancome,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b99e85f87e75f53660d41,Essie,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d45,Dark & Lovely,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d49,Armani Beauty,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660d4d,Helena Rubinstein,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d51,IT Cosmetics,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d55,Shu Uemura,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d59,Kanebo,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d5d,Mugler,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660d61,Ralph Lauren Fragrances,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d65,Redken,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d69,Kerastese,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d6d,Vichy,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d71,Viktor & Rolf,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d75,SkinCeuticals,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d79,Marlboro,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d7d,L&M,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d81,Parliament,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d89,Beck's Blue,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660d8d,Prada,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d91,Brahma,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660d95,Diesel,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660d99,Budweiser,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660d9d,La Roche-Posay,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660da1,Matrix,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660da5,CeraVe,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660da9,Urban Decay,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660dad,Loreal Professionnel,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660db1,Pureology,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b99e85f87e75f53660db5,Valentino Beauty,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99e85f87e75f53660db9,Cass,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99e85f87e75f53660dbd,Atelier Cologne,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
